Symbol,StartDate,EndDate,Expiry,Low,High
NIFTY,21Jan2025,30Jan2025,30Jan2025,22250,23800
NIFTY,28Jan2025,06Feb2025,06Feb2025,22600,24300
NIFTY,04Feb2025,13Feb2025,13Feb2025,22250,24250
NIFTY,11Feb2025,20Feb2025,20Feb2025,22200,23700
NIFTY,18Feb2025,27Feb2025,27Feb2025,22000,23400
NIFTY,25Feb2025,06Mar2025,06Mar2025,21450,23100
NIFTY,04Mar2025,13Mar2025,13Mar2025,21700,23150
NIFTY,11Mar2025,20Mar2025,20Mar2025,21850,23400
NIFTY,18Mar2025,27Mar2025,27Mar2025,22450,24350
NIFTY,25Mar2025,03Apr2025,03Apr2025,22600,24100
NIFTY,01Apr2025,14Apr2025,14Apr2025,21200,23400
NIFTY,12Apr2025,21Apr2025,21Apr2025,22700,24350
NIFTY,19Apr2025,28Apr2025,28Apr2025,23300,24850
NIFTY,26Apr2025,05May2025,05May2025,23550,25050
NIFTY,03May2025,12May2025,12May2025,23400,25000
NIFTY,10May2025,19May2025,19May2025,23850,25600
NIFTY,17May2025,26May2025,26May2025,23950,25550
NIFTY,24May2025,02Jun2025,02Jun2025,24150,25550
NIFTY,31May2025,09Jun2025,09Jun2025,24000,25500
NIFTY,07Jun2025,16Jun2025,16Jun2025,23950,25700
